"chapter","audio_file","shloka","charan","start_sec","end_sec","confidence","verified","status"
"1","CH01.mp3","43","3","795.5","799.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","43","4","799.5","804.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","44","","804.8","823","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","44","1","804.8","809.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","44","2","809.5","813.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","44","3","813.8","817.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","44","4","817.8","823","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","45","","823","841.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","45","1","823","827.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","45","2","827.8","832.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","45","3","832.2","836.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","45","4","836.2","841.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","46","","841.5","859.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","46","1","841.5","846","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","46","2","846","850.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","46","3","850.2","854.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","46","4","854.2","859.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","47","","863.5","882","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","47","1","863.5","868","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","47","2","868","872.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","47","3","872.2","876.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","47","4","876.5","882","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","1","","17.5","35.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","1","1","17.5","21.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","1","2","21.8","26","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","1","3","26","30.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","1","4","30.2","35.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","2","","39.5","56.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","2","1","39.5","43.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","2","2","43.6","47.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","2","3","47.5","52","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","2","4","52","56.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","3","","56.4","74","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","3","1","56.4","60.9","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","3","2","60.9","65","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","3","3","65","69.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","3","4","69.1","74","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","4","","78","96.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","4","1","78","82.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","4","2","82.5","86.9","0.99","True","AUTO_VERIFIED"
